Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,Laura gave us the most incredible service and made our experience so wonderful!!,13 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"My hubby and I came in on a Saturday for happy hour with reservations.

Our server was Peter who immediately greeted us and offered us water.

We were so happy with his recommendation to get the calamari which was crispy and well seasoned.

Our beef carpaccio was delicious and had a small hiccup but Peter was quick to revolve the issue.

The oysters were so fresh and the shaved horseradish, cocktail sauce and mignonette go so well together.

Amazing, attentive and friendly service and top quality dishes at an excellent value will have us returning again and again!",14 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$90–100,5,5,5,"Oysters on the Half Shell and Lemon Drop, Wagyu Beef Carpaccio, Calamari",,,
5 stars,"Sallie was an amazing server. Friendly, knowledgeable and very attentive to our table. Sallie made our dinner that much more enjoyable with her local knowledge of Canada",14 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$90–100,5,5,5,"Coast, Fish",,,
5 stars,"Very good food, amazing service by Peter! Will definitely come back",15 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$60–70,5,5,5,,,,
5 stars,"We go there for a happy hour. We had oysters each for 1.5 bucks, that's a steal. The food is so good, especially the oysters and mussels! The restaurant is a real treat. The service is great and I'd like to say a shoutout to Peter. Had a great time during our visit. I'd love to try more dishes next time!",15 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$30–40,5,5,5,,,,
5 stars,"We really enjoyed our time at Coast. Fresh sea food, good oysters, and the biggest surprise was the Fish & Chip cone. Service was also outstanding. Peter was our server, but the whole crew we interacted with was courteous.",16 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Peter is the best! We had an unforgettable experience!,16 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,,$30–40,5,5,5,,,,
5 stars,Stephen is a great server!,16 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,4,,,,
5 stars,Our food is amazing and our server Stephen makes our experience in this restaurant even more amazing. He’s very friendly and professional. Me and my family will come back here next season and we’re hoping to have Stephen our server again.,18 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,Lunch,,5,5,5,Oysters on the Half Shell and Lemon Drop,,,
5 stars,Came for the oysters and definitely satisfied! Went during the happy hour and every dish was excellent! Our server Stephen was amazing ! Will definitely come back!,18 hours ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Lunch,$50–60,5,5,5,"Crab Dip, Oysters on the Half Shell and Lemon Drop, Calamari",,,
