Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"I had an amazing experience eating the lobster night, thanks to Sallie for the attention!!",9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$90–100,5,5,5,,,,
5 stars,Perfect service by Sallie!,9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,,,,5,5,5,,,,
5 stars,Sallie is amazing. She made sure to take care of us and provided us with AMAZING service!!,9 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,,,$60–70,5,5,5,,,,
4 stars,"If you’re looking for a vibrant place to unwind yet receive excellent service, Coast is the place to be. The staff truly works hard to deliver top-notch hospitality, and it shows. They're easily one of the most harmonious and hardworking teams I've seen at a Glowbal chain.

That said, the food didn’t quite live up to the hype. Happy hour options? Coast absolutely nails them every time—tasty, well-priced, and definitely worth it. But the main courses seemed to fall short. The scallops with risotto were a bit too salty and, over time, felt like a bit of a chore to finish. The sablefish, while buttery and flavorful at first, became underwhelming. We were celebrating an anniversary (not a birthday), and it would've been a nice touch if they offered a dessert, like their neighbor Black & Blue does for special occasions. No fault of theirs, as they are generally quite busy, but it would’ve been a small gesture to help make the experience feel warmer and more memorable.

Still, Coast remains a top choice for happy hour in the city—bustling with fantastic service.",10 hours ago,2025-03-11,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$40–50,4,5,5,,,,
5 stars,"Peter was amazing!! 1000/10 service. So personable, friendly and lovely",a day ago,2025-03-10,09-Mar-2025 to 15-Mar-2025,,,,5,5,5,,,,
5 stars,"Excellent service, even better food!",a day ago,2025-03-10,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$60–70,5,4,5,,,,
5 stars,"Great service, Khalil was very attentive and kind. Thank you",2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,,5,5,5,Seafood Tower,,,
5 stars,Khalil good,2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$50–60,5,5,5,Seafood Tower,,,
5 stars,"Downtown adventures led us to Coast, one of Glowbal Group’s seafood spots. Since Glowbal restaurants rarely disappoint, we figured we’d give their Happy Hour menu a shot (because let’s be honest—good food at a discount tastes even better). We were tempted by the $75 lobster set, but discipline (and a love for variety) kept us focused on Happy Hour.

Here’s what two hungry adults and two semi-hungry kids devoured:
•	A dozen fresh oysters – Because one does not simply say no to oysters.
•	Crab Dip – A creamy, crabby delight.
•	Wagyu Beef Carpaccio – Thin, fancy, and melt-in-your-mouth good.
•	Mini Lobster and Prawn Roll – indeed, not that Mini.
•	1/2 lb Mussels – Half a pound of ocean goodness.
•	Truffle Fries – Because fries without truffle are just… fries.
•	Fish & Chips (from the main menu) – Obligatory seafood classic.
•	Desserts: Crème Brûlée, Warm Banana Coconut Buttermilk Cake, and New York Cheesecake – Because leaving room for dessert is a life philosophy.

The verdict? No mind-blowing surprises, but everything was well-executed and absolutely worth the Happy Hour pricing. The oysters were fresh, the fries were truffly, and the service was on point.

Would I go back? Absolutely. Would I still regret not ordering the lobster set? Also yes.",2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$50–60,4,5,5,,,,
5 stars,Pavlo was the best!!,2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,,,,5,5,5,,,,
5 stars,"Peter was an absolutely amazing waiter! His hospitality was top-notch—he was incredibly kind, attentive, and always reassuring. He made sure we felt comfortable throughout our meal, checking in at just the right moments without being intrusive. His friendly demeanor and professionalism truly elevated the dining experience. It’s rare to find such genuine and thoughtful service—Peter is a gem! Highly recommend asking for him if you dine here!",2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Other,$20–30,5,5,5,"Crab Dip, Chef's Selection of Oysters, Truffle Parmesan Fries",,,
5 stars,"A place you have to visit. I was served by Ben W, and his service was excellent, very attentive and friendly.",2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,,,5,5,5,,,,
5 stars,"Food was great and Happy Hour Oysters were a steal! Our server, Ben W was extremely hospitable and overall great atmosphere and experience.",2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Lunch,$20–30,5,5,5,"Crab Dip, Chef's Selection of Oysters",Plenty of parking,Paid parking lot,
5 stars,Great experience for happy hour and great service from Stephen,2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Other,$100+,5,5,5,,,,
5 stars,Great experience and service. Happy hour on a weekend was amazing!,2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Brunch,$90–100,5,5,5,,,,
4 stars,"Our waitress Laura was amazing, and the rest of the staff very nice, food was good but a little expensive, but overall i would recommend.",2 days ago,2025-03-09,09-Mar-2025 to 15-Mar-2025,Dine in,Dinner,$100+,4,5,5,,,,
5 stars,"Petter was amazing, food was great and the drinks were delicious.",3 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,"I had the pleasure of having Peter as our waiter at Coast, and he made our experience truly exceptional. From the moment we arrived, Peter was attentive, friendly, and incredibly professional. I took my sister-in-law out to celebrate her birthday, and Peter went above and beyond to ensure we had a memorable evening. His thoughtful recommendations, prompt service, and warm demeanor really elevated our dining experience. We felt truly taken care of, and it made the night even more special. If you're planning a visit, I highly recommend asking for Peter—he'll make your experience unforgettable! Thank you, Peter, for making our celebration so wonderful. We’ll definitely be back!",3 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,,,$90–100,4,5,3,,,,
5 stars,peter was amazing. super sweet and friendly:),3 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,,,5,5,5,Chef's Selection of Oysters,,,
5 stars,"This restaurant was an easy 5⭐️From service to serving everything was phenomenal. We had the calamari and chowder and then salmon and halibut for mains. Servings were hearty and tastes were decadent.
In the heart of Vancouvers shopping district it’s a 10/10 from me.",3 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$50–60,5,5,5,,,,
5 stars,"Fabulous birthday dinner at COAST !
We requested a quiet table and were seated upstairs overlooking the restaurant which was ideal. Our server Jesse was great, totally informed, attentive and fun. Katya, our lovely sommelier had the perfect suggestion to complement our meal.
We tried several dishes and were pleasantly impressed. Highly recommend the crab cakes and the prawn dish with red curry coconut soba noodles. SO GOOD !
Other staff attending our table were pleasant and efficient which was very much appreciated. The “Happy Birthday” dessert was a sweet surprise.
COAST dinner menu is extensive and we already have in mind some dishes to try on our next visit. Thanks to all, we had a wonderful experience and will definitely be returning !",3 days ago,2025-03-08,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,Peter was very attentive and extremely courteous! We celebrated our 18th anniversary with Coast and it was a wonderful experience! Thank you so much!!,4 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$70–80,5,5,5,"Caesar Salad, Fish",,,
5 stars,The only thing better than the lobster roll was Isabel’s service! Top notch!,4 days ago,2025-03-07,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$50–60,5,5,5,Chef's Selection of Oysters,,,
