Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"Came by coast for a happy hour and highly recommend making a reso beforehand because it was sooo busy! Tried out a few of the menu items but unfortunately nothing was too impressive

Mussels - some were not as fresh as others. Thai sauce was good but wish all mussels were fresher

Wagyu carpaccio - it was ok, felt like there could have been more than 5 slices for the value but was pretty tasty

Calamari - fresh squid and liked the sauce that it came with

Crab dip - our fav of the night, very cheesy and tasty

Raspberry cake - so pretty and tasted as good as it looked",9 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Stephen was great! He was very attentive and gave the best customer service.,10 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,,3,5,5,,,,
5 stars,"Who is better than Oscar?
Happiness is on the menu in Vancouver.
Just head yourself to Coast Restaurant.
Happiness, amazing service and unexpected moments of laughter accompanied by amazing food awaits amidst a beautiful décor and the wonderful Oscar - the best place in town where you’ll want to come again and again.
Sylvie and Angie",10 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,,,,,,,
5 stars,Fantastic Happy Hour experience with Stephen! His recommendations were spot on. 👌,12 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$40–50,5,5,4,,,,
3 stars,"The restaurant has a nice atmosphere. We went there for the oyster happy hour, but the oysters were smaller than expected, which was a bit disappointing. There seemed to be a lot of servers; some provided good service, while others were just average. I think we wouldn’t come back.",15 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,Dine in,,,2,3,5,,,,
5 stars,No review text,15 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,No review text,17 hours ago,2025-03-06,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Have been coming up to Coast for many years. We’ve had many servers like Hondas and Daylen. As they left we still have Oscar. He’s been there for us early on and always remembers us. The food is fantastic and happy hour is unreal. Way better than earls and cactus. Come here if you want to have a good time and a friendly staff,a day ago,2025-03-05,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Had a great time here. Our waiter Khalil was amazing! Loved their happy hour menu, will definitely be coming back!",a day ago,2025-03-05,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$70–80,5,5,5,,,,
5 stars,No review text,2 days ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,Dine in,Lunch,$20–30,5,5,5,Fish,,,
5 stars,"Gloria is a fantastic server—attentive, knowledgeable, and genuinely friendly. Even during a busy rush, she kept everything running smoothly. Great service all around.",2 days ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Fab time and great food! Glorious service from Gloria - thank you!,2 days ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,,,,4,5,5,,,,
5 stars,Lovely atmosphere and great service from Gloria! Definitely would come back again.,2 days ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,,,,,,,,,,
5 stars,"My hubby and I came in on a Saturday for happy hour with reservations.

Our server was Peter who immediately greeted us and offered us water.

We were so happy with his recommendation to get the calamari which was crispy and well seasoned.

Our beef carpaccio was delicious and had a small hiccup but Peter was quick to revolve the issue.

The oysters were so fresh and the shaved horseradish, cocktail sauce and mignonette go so well together.

Amazing, attentive and friendly service and top quality dishes at an excellent value will have us returning again and again!",2 days ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$90–100,5,5,5,"Chef's Selection of Oysters, Wagyu Beef Carpaccio, Salt & Pepper Calamari",,,
5 stars,Laura gave us the most incredible service and made our experience so wonderful!!,3 days ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Sallie was an amazing server. Friendly, knowledgeable and very attentive to our table. Sallie made our dinner that much more enjoyable with her local knowledge of Canada",3 days ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$90–100,5,5,5,"Coast, Fish",,,
5 stars,"Very good food, amazing service by Peter! Will definitely come back",3 days ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$60–70,5,5,5,,,,
5 stars,"We go there for a happy hour. We had oysters each for 1.5 bucks, that's a steal. The food is so good, especially the oysters and mussels! The restaurant is a real treat. The service is great and I'd like to say a shoutout to Peter. Had a great time during our visit. I'd love to try more dishes next time!",3 days ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$30–40,5,5,5,,,,
5 stars,"We really enjoyed our time at Coast. Fresh sea food, good oysters, and the biggest surprise was the Fish & Chip cone. Service was also outstanding. Peter was our server, but the whole crew we interacted with was courteous.",3 days ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Peter is the best! We had an unforgettable experience!,3 days ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,,$30–40,5,5,5,,,,
