Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,No review text,2 hours ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,Dine in,Lunch,$20–30,5,5,5,Fish,,,
5 stars,"Gloria is a fantastic server—attentive, knowledgeable, and genuinely friendly. Even during a busy rush, she kept everything running smoothly. Great service all around.",17 hours ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Fab time and great food! Glorious service from Gloria - thank you!,17 hours ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,,,,4,5,5,,,,
5 stars,Lovely atmosphere and great service from Gloria! Definitely would come back again.,17 hours ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,,,,,,,,,,
5 stars,"My hubby and I came in on a Saturday for happy hour with reservations.

Our server was Peter who immediately greeted us and offered us water.

We were so happy with his recommendation to get the calamari which was crispy and well seasoned.

Our beef carpaccio was delicious and had a small hiccup but Peter was quick to revolve the issue.

The oysters were so fresh and the shaved horseradish, cocktail sauce and mignonette go so well together.

Amazing, attentive and friendly service and top quality dishes at an excellent value will have us returning again and again!",22 hours ago,2025-03-04,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$90–100,5,5,5,"Chef's Selection of Oysters, Wagyu Beef Carpaccio, Salt & Pepper Calamari",,,
5 stars,Laura gave us the most incredible service and made our experience so wonderful!!,a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Sallie was an amazing server. Friendly, knowledgeable and very attentive to our table. Sallie made our dinner that much more enjoyable with her local knowledge of Canada",a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$90–100,5,5,5,"Coast, Fish",,,
5 stars,"Very good food, amazing service by Peter! Will definitely come back",a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$60–70,5,5,5,,,,
5 stars,"We go there for a happy hour. We had oysters each for 1.5 bucks, that's a steal. The food is so good, especially the oysters and mussels! The restaurant is a real treat. The service is great and I'd like to say a shoutout to Peter. Had a great time during our visit. I'd love to try more dishes next time!",a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Other,$30–40,5,5,5,,,,
5 stars,"We really enjoyed our time at Coast. Fresh sea food, good oysters, and the biggest surprise was the Fish & Chip cone. Service was also outstanding. Peter was our server, but the whole crew we interacted with was courteous.",a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Peter is the best! We had an unforgettable experience!,a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,,$30–40,5,5,5,,,,
5 stars,Stephen is a great server!,a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,4,,,,
5 stars,Our food is amazing and our server Stephen makes our experience in this restaurant even more amazing. He’s very friendly and professional. Me and my family will come back here next season and we’re hoping to have Stephen our server again.,a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,Lunch,,5,5,5,Chef's Selection of Oysters,,,
5 stars,Came for the oysters and definitely satisfied! Went during the happy hour and every dish was excellent! Our server Stephen was amazing ! Will definitely come back!,a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Lunch,$50–60,5,5,5,"Crab Dip, Chef's Selection of Oysters, Salt & Pepper Calamari",,,
5 stars,"Had the most amazing Sunday lunch experience. Our server Stephen was perfect and took good care of us. The atmosphere was nice, they had a good playlist going but not too loud for chatting. And of course the food was top notch - perfectly seasoned and filling for the price. Will definitely be back.",a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,Dine in,Lunch,$30–40,5,5,5,,,,
5 stars,No review text,a day ago,2025-03-03,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,Love the happy hour. Peter is the best!,2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Sam was amazing, the service and food was superb.",2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,Dine in,,,5,5,5,,,,
5 stars,Our server Caili was so amazing! We came in to celebrate my birthday during happy hour and she made the whole experience so enjoyable. Great service!,2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"Perfect!! Hands down, some of the most delicious food I've eaten lately! They utilize only the freshest ingredients and ensure that each dish is properly prepared. The Red Curry Mussels and Fish and Chips  was very memorable. Must try! I was really impressed by the service of Stephen and Jesse. The staff members were very knowledgable about the food and provided fantastic suggestions. Truly excellent service! Thank you",2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
5 stars,"I’ve been here countless times and really enjoyed my experience every time! The food is great and the service is top tier! Big thank you to my regular server Sallie, for her hospitable and very attentive service, always meeting my food requests!",2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,Dine in,Dinner,$50–60,5,5,5,,,,
5 stars,Stephen was a delight and made the experience a very enjoyable time!,2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,Brunch,$20–30,5,5,5,Coast,,,
5 stars,Our server Stephen was awesome. Super friendly and nice to talk with while we enjoyed our happy hour.,2 days ago,2025-03-02,02-Mar-2025 to 08-Mar-2025,,,,5,5,5,,,,
