Star Rating,Review Text,Time Since Review,Date Of Review,Time Period,Service type,Meal type,Price per person,Food,Service,Atmosphere,Recommended dishes,Parking space,Parking options,Kid-friendliness
5 stars,"My friend and I had exceptional service from our server Sallie. She knew when to check in on us and when to leave us alone. Despite arriving late she honoured us with a Happy Hour priced drink, and when she found out that my friend’s son got engaged that day she came with glasses of bubbly! We were not big paying clients but she treated us just the same! Thank you Sallie for your exceptional service, I hope to see you again soon.",4 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,,,,5,5,5,,,,
5 stars,"I was at Coast on alberni with my friend last week and the food was phenomenal but even better than the food…Isabel our server was absolutely amazing, great knowledge of the menu, pleasant to talk to and she was always there keeping my hydrated. Isabel needs a raise. She is the main reason I’ll be back and make sure to bring friends.

Thank you for making our experience amazing.",5 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$60–70,5,5,5,Coast,,,
5 stars,"Exceptional Service

My husband. And I recently dined at Coast restaurant and I cannot say enough about the outstanding customer service I received.

Our server, Laura went above and beyond to ensure our experience was perfect. She was attentive, friendly, and incredibly knowledgeable about the menu, offering great recommendations that turned out to be absolutely delicious.

The atmosphere was warm and inviting, and it was clear that the staff genuinely cared about making our evening special.

We definitely be returning and recommending it to everyone I know. Thank you for such a wonderful dining experience!",19 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$100+,5,5,5,,,,
5 stars,Gloria’s the best !,20 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,,,,5,5,5,,,,
5 stars,Our server Josh was lovely !,21 hours ago,2025-02-27,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$20–30,5,5,5,Oysters on the Half Shell and Lemon Drop,,,
5 stars,"Nice & Cozy place to hang out in Downtown area during Happy Hours, Oysters are fresh and tasteful! Other appets. are also recommended especially the Crab Dip and Beef Carpaccio.",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Other,$40–50,5,3,4,,Somewhat difficult to find parking,"Paid street parking, Valet, Paid parking garage",
5 stars,"Dinner for two last Wednesday. Good food and a buzz of conversation in the restaurant made it a lovely night out-one we will repeat.
Thanks are due, firstly to Blaine for taking care of us, and to Mohit for making it all happen. (Don't go to Edinburgh man-stay in Vancouver!)",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$50–60,5,5,5,,,,
5 stars,"Fantastic experience! From the moment we arrived, we were met with amazing hospitality. Our manager Katya went above and beyond to ensure our experience was seamless—she recommended incredible dishes and wines, checked in with us throughout the evening, and made us feel truly valued as guests. Her attention to detail is top notch and we absolutely will be back! Their sablefish is a must try!",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,$70–80,5,5,5,Fish,,,
2 stars,"Came here with my family and spent over $300 with tip.  Here’s my experience:

FOOD: appetizers were okay.
MAIN: fish n chips were kinda small for the price
Lobster pasta: small portion and not enough lobster
Steak: was terrible.  Very expensive for low quality meat that was overcooked and chewy.  Way better at THE KEG
SERVICE: was very good
ATMOSPHERE: also good.

OVERALL:  The whole reason was the main dish and we had 3 mains and we can get everything better elsewhere for way less",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,,,,1,5,4,,,,
4 stars,"Attended a work event here, could be different for an independent outing",a day ago,2025-02-26,23-Feb-2025 to 01-Mar-2025,Dine in,Dinner,,4,4,3,,,,
